"Date","Price","Open","High","Low","Vol.","Change %"
"02/22/2024","91.60","91.10","91.60","90.90","180.10K","0.55%"
"02/21/2024","91.10","91.00","91.40","90.60","255.22K","0.11%"
"02/20/2024","91.00","91.10","91.50","90.30","128.71K","0.00%"
"02/19/2024","91.00","90.00","91.50","89.60","434.43K","1.22%"
"02/16/2024","89.90","89.00","90.00","89.00","169.15K","0.45%"
"02/15/2024","89.50","88.60","89.50","88.40","1.20M","1.02%"
"02/14/2024","88.60","89.00","89.00","88.50","25.95K","-1.01%"
"02/13/2024","89.50","89.90","89.90","88.80","803.45K","0.00%"
"02/12/2024","89.50","89.70","89.90","89.30","47.95K","0.00%"
"02/09/2024","89.50","89.50","89.50","88.80","154.75K","0.00%"
"02/08/2024","89.50","89.00","89.70","88.90","106.11K","0.56%"
"02/07/2024","89.00","88.00","89.00","88.00","98.73K","1.48%"
"02/06/2024","87.70","88.50","88.50","87.50","485.25K","-0.34%"
"02/02/2024","88.00","89.00","89.00","87.90","93.54K","-1.12%"
"02/01/2024","89.00","87.00","89.00","86.10","572.07K","2.18%"
"01/31/2024","87.10","86.70","87.10","86.00","70.96K","0.00%"
"01/30/2024","87.10","88.40","88.40","87.00","45.56K","-1.02%"
"01/29/2024","88.00","87.50","88.70","87.40","69.14K","0.23%"
"01/26/2024","87.80","87.90","88.00","87.70","225.11K","0.11%"
"01/24/2024","87.70","87.80","88.00","87.50","82.34K","0.00%"
"01/23/2024","87.70","88.50","88.50","87.50","4.76K","-0.11%"
"01/22/2024","87.80","89.30","89.30","87.50","268.52K","-1.90%"
"01/19/2024","89.50","88.00","89.80","88.00","29.06K","0.90%"
"01/18/2024","88.70","89.10","89.80","88.00","34.07K","-1.44%"
"01/17/2024","90.00","91.30","91.30","90.00","77.54K","-1.10%"
"01/16/2024","91.00","91.40","91.50","90.60","365.11K","-0.55%"
"01/12/2024","91.50","92.10","92.40","91.20","150.62K","-0.33%"
"01/11/2024","91.80","93.30","93.30","91.80","526.80K","-1.61%"
"01/10/2024","93.30","94.30","94.70","93.00","132.18K","-0.85%"
"01/09/2024","94.10","95.00","95.00","94.00","19.42K","-0.95%"
"01/08/2024","95.00","95.20","95.50","94.00","351.58K","-1.04%"
"01/05/2024","96.00","96.20","96.20","95.00","238.33K","0.42%"
"01/04/2024","95.60","96.00","96.00","95.20","377.34K","-0.42%"
"01/03/2024","96.00","96.00","97.50","95.70","218.63K","-0.83%"
"01/02/2024","96.80","95.50","98.00","94.50","120.59K","1.36%"
"12/29/2023","95.50","94.50","95.60","94.50","383.94K","1.06%"
"12/28/2023","94.50","93.10","94.50","92.90","645.80K","1.50%"
"12/27/2023","93.10","92.40","94.00","91.70","78.87K","0.11%"
"12/22/2023","93.00","92.80","93.50","92.60","120.09K","0.00%"
"12/21/2023","93.00","93.70","94.20","93.00","82.58K","-0.75%"
"12/20/2023","93.70","93.60","94.00","93.40","118.87K","0.00%"
"12/19/2023","93.70","93.40","94.10","93.40","290.80K","-0.32%"
"12/18/2023","94.00","93.50","94.10","93.40","491.47K","0.00%"
"12/15/2023","94.00","93.90","94.50","93.00","304.92K","0.21%"
"12/14/2023","93.80","94.00","94.90","93.00","96.11K","-0.64%"
"12/13/2023","94.40","95.40","95.40","93.10","273.41K","-0.74%"
"12/12/2023","95.10","94.80","95.10","94.30","362.55K","0.63%"
"12/11/2023","94.50","94.00","94.50","93.70","350.02K","0.53%"
"12/08/2023","94.00","92.00","94.00","92.00","235.42K","2.96%"
"12/07/2023","91.30","90.00","92.00","90.00","207.03K","1.44%"
"12/06/2023","90.00","90.00","90.40","89.50","220.57K","0.00%"
"12/05/2023","90.00","91.00","91.50","89.10","212.11K","-1.10%"
"12/04/2023","91.00","90.80","92.50","90.20","92.56K","1.11%"
"12/01/2023","90.00","87.90","90.10","87.90","355.31K","3.45%"
"11/30/2023","87.00","86.00","88.00","86.00","279.19K","1.40%"
"11/29/2023","85.80","85.50","86.00","85.30","274.89K","0.35%"
"11/28/2023","85.50","85.40","85.50","84.50","67.10K","0.00%"
"11/27/2023","85.50","85.00","85.50","85.00","300.51K","0.59%"
"11/24/2023","85.00","85.50","86.00","84.50","120.31K","0.00%"
"11/23/2023","85.00","85.20","85.50","84.00","212.76K","1.80%"
"11/22/2023","83.50","82.70","85.00","82.70","415.56K","-0.60%"
"11/21/2023","84.00","83.40","84.50","83.00","252.34K","1.33%"
"11/20/2023","82.90","85.00","85.00","82.90","142.71K","-2.47%"
"11/17/2023","85.00","85.50","85.50","83.80","253.39K","0.59%"
"11/16/2023","84.50","84.50","85.90","82.50","97.82K","-0.59%"
"11/15/2023","85.00","86.50","86.50","83.00","48.85K","-1.16%"
"11/14/2023","86.00","87.40","87.70","85.00","67.95K","-1.04%"
"11/13/2023","86.90","86.20","87.50","85.50","85.24K","1.28%"
"11/10/2023","85.80","86.70","87.00","85.50","835.45K","-0.81%"
"11/09/2023","86.50","88.00","88.00","86.00","709.20K","-0.57%"
"11/08/2023","87.00","85.00","88.90","85.00","440.09K","2.35%"
"11/07/2023","85.00","84.90","86.00","84.00","202.30K","0.00%"
"11/06/2023","85.00","84.40","85.90","83.90","40.55K","1.19%"
"11/03/2023","84.00","84.90","85.40","84.00","70.64K","-0.36%"
"11/02/2023","84.30","83.50","86.00","83.50","304.89K","0.36%"
"11/01/2023","84.00","83.30","84.20","82.50","70.04K","2.31%"
"10/31/2023","82.10","82.50","83.20","81.60","44.77K","-1.08%"
"10/30/2023","83.00","83.50","83.50","82.00","27.14K","0.00%"
"10/27/2023","83.00","81.50","83.90","81.00","140.89K","1.22%"
"10/26/2023","82.00","82.50","84.00","81.00","44.13K","-0.85%"
"10/25/2023","82.70","84.90","84.90","82.60","7.10K","-2.71%"
"10/24/2023","85.00","87.30","87.50","84.50","53.45K","-2.19%"
"10/23/2023","86.90","86.80","88.80","86.50","266.26K","-0.11%"
"10/20/2023","87.00","81.70","87.30","81.70","162.19K","6.10%"
"10/19/2023","82.00","80.10","82.50","80.00","271.91K","1.86%"
"10/18/2023","80.50","80.00","80.80","80.00","186.43K","-0.25%"
"10/17/2023","80.70","80.30","82.90","80.30","249.13K","0.50%"
"10/16/2023","80.30","84.00","84.00","80.30","291.61K","-4.40%"
"10/13/2023","84.00","84.50","85.00","84.00","47.24K","0.00%"
"10/12/2023","84.00","83.50","85.00","82.60","63.82K","0.60%"
"10/11/2023","83.50","84.90","85.90","83.00","270.14K","-1.65%"
"10/10/2023","84.90","85.00","86.90","84.00","252.89K","-0.12%"
"10/09/2023","85.00","86.30","87.00","83.50","341.68K","-1.51%"
"10/06/2023","86.30","88.00","88.00","86.10","24.33K","-1.37%"
"10/05/2023","87.50","87.80","88.80","86.50","69.60K","-0.34%"
"10/04/2023","87.80","87.10","87.80","86.10","96.82K","0.69%"
"10/03/2023","87.20","88.00","89.90","87.20","59.18K","-1.80%"
"10/02/2023","88.80","90.00","90.00","87.80","100.35K","-1.55%"
"09/27/2023","90.20","89.00","91.10","88.90","141.20K","1.58%"
"09/26/2023","88.80","88.50","89.00","87.80","135.26K","0.91%"
"09/25/2023","88.00","89.50","90.00","88.00","45.41K","-1.12%"
"09/22/2023","89.00","88.00","90.20","87.60","66.03K","0.11%"
"09/21/2023","88.90","89.90","89.90","87.60","52.48K","-0.11%"
"09/20/2023","89.00","88.50","89.50","88.00","643.82K","1.14%"
"09/19/2023","88.00","90.00","90.00","87.00","197.49K","-2.22%"
"09/18/2023","90.00","92.50","92.50","89.50","183.64K","-1.64%"
"09/15/2023","91.50","93.00","93.00","91.00","130.68K","-0.87%"
"09/14/2023","92.30","91.00","93.00","91.00","73.64K","1.43%"
"09/13/2023","91.00","91.00","92.00","90.10","547.37K","1.00%"
"09/12/2023","90.10","92.00","92.00","90.00","189.70K","-1.96%"
"09/11/2023","91.90","92.80","92.90","90.40","61.36K","-0.97%"
"09/08/2023","92.80","92.10","93.00","92.10","132.26K","0.32%"
"09/07/2023","92.50","93.00","93.00","90.10","135.45K","0.54%"
"09/06/2023","92.00","95.00","95.40","92.00","283.19K","-3.26%"
"09/05/2023","95.10","93.50","96.00","93.30","1.45M","1.93%"
"09/04/2023","93.30","90.00","93.90","89.90","583.70K","3.67%"
"09/01/2023","90.00","86.50","90.00","86.50","277.33K","4.05%"
"08/31/2023","86.50","87.40","87.90","86.50","47.45K","-0.69%"
"08/29/2023","87.10","87.00","87.10","86.40","200.70K","0.11%"
"08/28/2023","87.00","87.30","87.50","86.50","844.34K","1.16%"
"08/25/2023","86.00","89.60","89.60","80.00","294.31K","-3.91%"
"08/24/2023","89.50","93.50","93.50","89.50","423.96K","-4.38%"
"08/23/2023","93.60","90.00","94.00","89.50","1.71M","4.00%"
"08/22/2023","90.00","91.10","91.40","89.30","383.29K","-1.53%"
"08/21/2023","91.40","93.50","95.00","91.40","713.07K","-2.25%"
"08/18/2023","93.50","96.00","96.00","93.10","258.05K","-2.81%"
"08/17/2023","96.20","97.30","97.30","95.00","378.22K","-0.52%"
"08/16/2023","96.70","93.00","97.00","92.50","1.96M","3.98%"
"08/15/2023","93.00","95.00","96.90","92.60","347.08K","-4.12%"
"08/14/2023","97.00","102.00","102.00","95.00","424.24K","-6.28%"
"08/11/2023","103.50","105.50","105.50","102.25","189.38K","-1.19%"
"08/10/2023","104.75","105.00","107.50","104.50","511.69K","0.72%"
"08/09/2023","104.00","105.00","105.00","103.25","459.28K","-1.89%"
"08/08/2023","106.00","103.50","106.75","101.00","1.73M","1.92%"
"08/07/2023","104.00","100.00","105.00","99.00","1.49M","2.97%"
"08/04/2023","101.00","100.00","101.75","100.00","1.63M","2.02%"
"08/03/2023","99.00","96.00","100.75","95.90","2.88M","3.56%"
"08/02/2023","95.60","93.00","97.00","92.10","1.66M","2.25%"
"07/31/2023","93.50","93.00","93.60","92.00","451.75K","0.97%"
"07/28/2023","92.60","92.60","94.20","92.00","806.60K","0.22%"
"07/27/2023","92.40","87.60","93.00","87.60","940.61K","4.17%"
"07/26/2023","88.70","88.70","89.40","88.00","262.16K","0.45%"
"07/25/2023","88.30","88.20","89.70","87.60","1.04M","-0.23%"
"07/24/2023","88.50","87.60","90.60","87.60","973.67K","0.57%"
"07/21/2023","88.00","88.00","89.00","87.50","308.23K","0.00%"
"07/20/2023","88.00","88.00","89.10","87.50","671.28K","-1.68%"
"07/19/2023","89.50","87.00","89.70","85.70","1.30M","2.76%"
"07/18/2023","87.10","85.00","87.50","84.70","1.56M","2.96%"
